DateTime,AddedIPs,RemovedIPs
1561331522,0,1
1561332121,0,1
1561332722,1,0
1561333322,1,0
1561333922,1,5
1561334525,1,0
1561335122,44,23
1561335722,4,9
1561336922,2,11
1561338722,1,3
1561339322,0,5
1561340522,1,0
1561341722,0,2
1561342922,4,6
1561344123,0,9
1561345322,15,14
1561345922,2,0
1561347722,4,2
1561348922,1,0
1561350124,1,0
1561351322,3,5
1561352521,3,5
1561353722,0,3
1561354922,1,0
1561356122,0,1
1561357322,3,3
1561358521,6,6
1561359722,4,3
1561360322,1,0
1561362122,3,0
1561363322,2,0
1561364522,5,0
1561365722,10,7
1561366922,4,4
1561367522,1,4
1561368122,1,0
1561369322,1,0
1561370522,1,0
1561371122,0,3
1561374122,2,7
1561375322,1,3
1561376522,1,0
1561377722,1,1
1561378923,1,2
1561379522,0,4
1561380122,0,5
1561381322,2,2
1561381922,1,0
1561382522,0,5
1561383722,1,2
1561384922,2,2
1561386122,0,1
1561387322,2,3
1561388523,6,0
1561389722,26,6
1561390922,1,6
1561392122,3,34
1561393322,2,1
1561394524,1,1
1561395722,2,5
1561396322,3,10
1561396922,11,5
1561397522,1,3
1561399321,0,1
1561399922,0,1
1561400522,1,1
1561401122,0,5
1561401722,17,0
1561402922,0,13
1561403522,2,10
1561404122,2,0
1561405322,3,6
1561406522,1,4
1561408922,2,0
1561410122,2,0
1561411322,1,4
1561412523,38,60
1561413722,7,0
1561414922,13,5
1561417322,2,0
1561418522,1,0
1561419722,1,1
1561420924,5,2
1561421522,12,0
1561422122,3,0
1561423323,3,7
1561424522,1,4
1561425123,0,1
1561428121,0,3
1561428722,1,0
1561429322,10,2
1561430522,8,13
1561431122,2,36
1561431722,26,9
1561432922,3,3
1561433521,7,0
1561434122,2,1
1561435322,5,3
1561436522,1,0
1561437722,11,8
1561438322,1,0
1561438922,4,0
1561440122,7,10
1561441322,5,6
1561442522,2,27
1561443722,1,7
1561444322,1,2
1561444923,0,5
1561446122,4,0
1561446723,6,7
1561447322,1,0
1561448522,2,0
1561449722,1,0
1561452123,18,26
1561453322,2,13
1561454522,1,0
1561455122,1,3
1561455722,0,1
1561458122,0,2
1561461722,0,5
1561462322,2,0
1561464122,0,1
1561464722,2,0
1561465323,1,0
1561466523,1,0
1561467722,2,6
1561468922,5,11
1561470122,2,9
1561471321,1,0
1561472522,1,0
1561473722,3,3
1561474923,1,5
1561475522,3,0
1561476122,2,0
1561477322,0,4
1561478522,1,0
1561479122,0,2
1561479722,1,4
1561480323,1,0
1561480922,0,1
1561483322,5,3
1561483921,4,1
1561484522,5,0
1561485722,1,4
1561486322,0,1
1561488122,1,43
1561489322,6,9
1561490522,2,15
1561491722,3,0
1561492922,2,2
1561494122,1,1
1561494722,1,1
1561495322,1,0
1561498922,13,1
1561500121,2,4
1561500723,2,0
1561501322,1,1
1561502522,0,1
1561503122,1,0
1561504922,1,0
1561506122,8,5
1561507323,1,2
1561507922,3,0
1561508522,2,3
1561509721,2,2
1561510322,2,2
1561510922,0,3
1561511523,1,0
1561513322,3,0
1561514522,1,1
1561515723,2,6
1561516922,6,8
1561518122,0,14
1561519322,1,7
1561520522,4,2
1561521722,0,5
1561522922,0,3
1561524123,3,4
1561525323,2,0
1561525922,1,3
1561526522,1,0
1561527722,0,12
1561528922,26,12
1561530122,3,1
1561531322,1,4
1561532522,6,1
1561533122,1,0
1561533723,1,0
1561534922,0,1
1561535522,1,1
1561537322,0,5
1561538522,15,30
1561539122,4,0
1561539722,0,4
1561540322,2,0
1561540922,3,1
1561544522,0,2
1561546921,0,1
1561548722,2,0
1561549322,3,0
1561550522,0,2
1561551122,0,3
1561552322,0,4
1561552922,0,4
1561555322,6,0
1561555922,1,1
1561556522,1,0
1561557721,1,0
1561558922,4,0
1561560122,2,1
1561561323,1,4
1561562522,0,4
1561563722,1,0
1561564922,16,1
1561565522,2,0
1561566122,1,0
1561567322,1,0
1561568522,2,0
1561569723,2,0
1561570922,0,5
1561572122,1,1
1561573322,1,3
1561574522,0,6
1561575122,14,0
1561576922,2,3
1561578122,10,5
1561578723,13,0
1561579322,3,2
1561579922,15,0
1561580522,1,2
1561581122,1,0
1561581722,3,0
1561582922,0,3
1561583522,3,0
1561584122,0,1
1561585322,19,8
1561586522,6,0
1561588922,8,15
1561589522,1,0
1561590122,2,0
1561591322,1,1
1561592522,1,0
1561592949,0,7
1561593723,0,27
1561594322,33,0
1561594922,37,1
1561596123,0,4
1561597322,1,1
1561599122,0,5
1561599722,0,1
1561600922,0,1
1561602723,2,15
1561603323,0,8
1561604522,38,4
1561606922,0,1
1561608122,0,3
1561610522,0,16
1561612922,0,49
1561614122,0,9
1561615322,23,1
1561617722,0,5
1561620122,0,17
1561622523,0,7
1561624322,28,10
1561624922,0,3
1561626123,0,6
1561628522,0,5
1561629722,0,9
1561633322,0,1
1561635722,0,1
1561637522,0,2
1561638123,0,4
1561639923,0,10
1561640522,0,7
1561641722,36,0
1561642322,0,5
1561642922,0,2
1561645322,0,3
1561647723,1,10
1561648922,0,1
1561650122,0,1
1561651322,22,2
1561651923,0,3
1561652522,0,2
1561653122,0,5
1561653722,0,1
1561654923,0,1
1561656123,0,5
1561657322,0,1
1561659723,0,1
1561660923,41,2
1561662122,0,8
1561663322,0,8
1561664523,1,0
1561665722,0,2
1561666923,0,1
1561668122,0,6
1561669322,0,1
1561670522,0,5
1561671722,29,0
1561672922,0,5
1561676522,0,1
1561678922,0,4
1561680123,0,10
1561680722,26,0
1561681322,0,6
1561682522,0,2
1561683722,0,1
1561687322,0,7
1561689722,0,4
1561690922,14,17
1561692722,0,3
1561693323,0,3
1561694522,0,5
1561695722,0,5
1561696923,0,3
1561698122,0,2
1561699322,0,1
1561700523,30,3
1561701122,0,5
1561702922,0,2
1561704122,0,10
1561705322,0,5
1561707722,0,1
1561708922,0,1
1561711322,37,3
1561712522,0,11
1561717322,0,4
1561719722,1,0
1561721522,0,2
1561723322,0,3
1561725723,0,6
1561728122,23,14
1561729323,0,7
1561730522,0,1
1561731722,0,2
1561734722,0,3
1561735322,0,7
1561736522,0,5
1561737722,36,14
1561740122,0,22
1561741922,0,14
1561742522,1,5
1561744923,0,1
1561746122,0,1
1561746722,0,17
1561747322,30,3
1561748522,0,2
1561750922,0,5
1561751522,0,4
1561753322,0,2
1561754522,0,7
1561755722,0,4
1561756922,0,10
1561757522,37,0
1561759322,0,10
1561761722,0,1
1561764122,0,6
1561765322,0,10
1561767722,22,18
1561771322,0,1
1561773122,0,1
1561773722,0,9
1561774923,1,0
1561776122,0,9
1561777322,22,10
1561777922,0,1
1561778523,0,4
1561782122,0,8
1561784522,0,1
1561785722,0,8
1561786922,0,1
1561788122,33,7
1561790521,0,2
1561791123,0,4
1561792322,0,1
1561792922,0,3
1561795921,0,12
